Tol,accuracy_pro,acccuracy_con,precision_pro,precision_con,%of1_pro,%of1_con,%of1_gpm
0.0,0.555,0.54,0.508,0.486,22.009,41.052,44.852
0.1,0.687,0.614,0.339,0.303,15.041,30.861,26.422
0.2,0.723,0.647,0.3,0.262,13.156,27.187,22.381
0.3,0.747,0.672,0.276,0.239,11.926,24.577,19.983
0.4,0.765,0.692,0.259,0.222,11.016,22.514,18.241
0.5,0.779,0.71,0.246,0.209,10.29,20.803,16.861
0.6,0.792,0.726,0.235,0.198,9.686,19.321,15.707
0.7,0.802,0.741,0.225,0.189,9.17,18.0,14.717
0.8,0.812,0.754,0.217,0.181,8.723,16.808,13.861
0.9,0.82,0.767,0.209,0.175,8.328,15.723,13.119
1.0,0.828,0.778,0.202,0.169,7.971,14.724,12.461
1.1,0.835,0.789,0.196,0.164,7.65,13.811,11.862
1.2,0.841,0.799,0.19,0.16,7.359,12.969,11.321
1.3,0.847,0.808,0.185,0.156,7.095,12.192,10.83
1.4,0.852,0.816,0.18,0.152,6.853,11.47,10.38
1.5,0.857,0.825,0.175,0.149,6.628,10.801,9.966
1.6,0.862,0.832,0.171,0.147,6.418,10.182,9.58
1.7,0.866,0.839,0.166,0.144,6.224,9.603,9.218
1.8,0.87,0.846,0.162,0.142,6.04,9.059,8.885
1.9,0.874,0.853,0.159,0.14,5.868,8.553,8.568
2.0,0.878,0.859,0.155,0.139,5.706,8.072,8.267
2.1,0.881,0.865,0.151,0.138,5.555,7.626,7.983
2.2,0.885,0.87,0.148,0.137,5.411,7.213,7.715
2.3,0.888,0.876,0.145,0.136,5.276,6.826,7.461
2.4,0.891,0.881,0.141,0.135,5.149,6.463,7.22
2.5,0.894,0.885,0.138,0.134,5.024,6.124,6.994
2.6,0.896,0.89,0.135,0.133,4.906,5.807,6.777
2.7,0.899,0.894,0.132,0.133,4.795,5.51,6.574
2.8,0.902,0.898,0.13,0.132,4.687,5.235,6.379
2.9,0.904,0.901,0.127,0.132,4.584,4.977,6.193
3.0,0.906,0.905,0.124,0.131,4.486,4.736,6.014
3.1,0.908,0.908,0.122,0.131,4.391,4.511,5.848
3.2,0.91,0.911,0.119,0.13,4.299,4.303,5.684
3.3,0.912,0.914,0.117,0.13,4.211,4.106,5.529
3.4,0.914,0.917,0.115,0.129,4.127,3.921,5.379
3.5,0.916,0.92,0.112,0.129,4.044,3.747,5.236
3.6,0.918,0.922,0.11,0.128,3.965,3.582,5.098
3.7,0.92,0.925,0.108,0.128,3.889,3.428,4.964
3.8,0.922,0.927,0.106,0.127,3.815,3.284,4.837
3.9,0.923,0.929,0.104,0.126,3.743,3.149,4.714
4.0,0.925,0.931,0.102,0.126,3.673,3.02,4.596
4.1,0.926,0.933,0.1,0.125,3.605,2.899,4.481
4.2,0.928,0.935,0.098,0.125,3.54,2.783,4.37
4.3,0.929,0.937,0.096,0.124,3.478,2.676,4.261
4.4,0.931,0.939,0.094,0.123,3.416,2.572,4.157
4.5,0.932,0.941,0.092,0.123,3.357,2.474,4.056
4.6,0.933,0.942,0.09,0.122,3.3,2.382,3.958
4.7,0.935,0.944,0.089,0.121,3.244,2.294,3.863
4.8,0.936,0.945,0.087,0.12,3.189,2.211,3.77
4.9,0.937,0.947,0.085,0.119,3.135,2.132,3.68
